rank,mode,temperature,sigma,threshold,min_distance,prominence,f1,precision,recall,tp,fp,fn,key
1,segment,0.5,2.5,0.15,0,0.0,0.7736454849498327,0.7470611032166387,0.8021917048134276,5783,1958,1426,segment|T=0.5|sigma=2.5|thr=0.15|dist=0|prom=0
2,segment,0.5,2.5,0.138,0,0.0,0.7735290330887086,0.7216816816816817,0.8334026910805937,6008,2317,1201,segment|T=0.5|sigma=2.5|thr=0.138|dist=0|prom=0
3,segment,0.5,2.5,0.137,0,0.0,0.7731535003211304,0.7198899653151537,0.8349285615203218,6019,2342,1190,segment|T=0.5|sigma=2.5|thr=0.137|dist=0|prom=0
4,segment,0.5,2.5,0.139,0,0.0,0.7730821343312471,0.7226779252110977,0.8310445276737412,5991,2299,1218,segment|T=0.5|sigma=2.5|thr=0.139|dist=0|prom=0
5,segment,0.5,2.5,0.136,0,0.0,0.7729078559528387,0.7182327021555317,0.8365931474545707,6031,2366,1178,segment|T=0.5|sigma=2.5|thr=0.136|dist=0|prom=0
6,segment,0.5,2.5,0.135,0,0.0,0.7727418014447357,0.7166231918425421,0.8383964488833403,6044,2390,1165,segment|T=0.5|sigma=2.5|thr=0.135|dist=0|prom=0
7,segment,0.5,2.5,0.134,0,0.0,0.7724753106084741,0.7143530520857884,0.8408933277847136,6062,2424,1147,segment|T=0.5|sigma=2.5|thr=0.134|dist=0|prom=0
8,peak,0.5,2.5,0.138,16,0.0,0.7680997702658353,0.7290057313730376,0.8116243584408378,5851,2175,1358,peak|T=0.5|sigma=2.5|thr=0.138|dist=16|prom=0
9,peak,0.5,2.5,0.137,16,0.0,0.7676794133053955,0.7270246806399603,0.813150228880566,5862,2201,1347,peak|T=0.5|sigma=2.5|thr=0.137|dist=16|prom=0
10,peak,0.5,2.5,0.139,16,0.0,0.7674801026113268,0.7297973480110083,0.8092661950339853,5834,2160,1375,peak|T=0.5|sigma=2.5|thr=0.139|dist=16|prom=0
11,peak,0.5,2.5,0.135,16,0.0,0.7673464069320477,0.7234643734643734,0.8168955472326259,5889,2251,1320,peak|T=0.5|sigma=2.5|thr=0.135|dist=16|prom=0
12,peak,0.5,2.5,0.136,16,0.0,0.7672610882487425,0.7250617283950618,0.8146760993202941,5873,2227,1336,peak|T=0.5|sigma=2.5|thr=0.136|dist=16|prom=0
13,peak,0.5,2.5,0.134,16,0.0,0.7672424990258476,0.7213334961533765,0.8193924261339992,5907,2282,1302,peak|T=0.5|sigma=2.5|thr=0.134|dist=16|prom=0
14,peak,0.5,2.5,0.15,0,0.0,0.7672122457093631,0.7344582593250444,0.8030239977805521,5789,2093,1420,peak|T=0.5|sigma=2.5|thr=0.15|dist=0|prom=0
15,segment,0.5,2.0,0.15,0,0.0,0.7669229326832927,0.6979522184300341,0.8510195588847275,6135,2655,1074,segment|T=0.5|sigma=2|thr=0.15|dist=0|prom=0
16,segment,0.5,2.5,0.121,0,0.0,0.7668297516566546,0.6926605504587156,0.8587876265778888,6191,2747,1018,segment|T=0.5|sigma=2.5|thr=0.121|dist=0|prom=0
17,peak,0.5,2.5,0.15,16,0.0,0.7665306122448979,0.7521025230276331,0.7815230961298377,5634,1857,1575,peak|T=0.5|sigma=2.5|thr=0.15|dist=16|prom=0
18,peak,0.5,2.5,0.138,0,0.0,0.7662825491818934,0.708166627441751,0.8347898460258011,6018,2480,1191,peak|T=0.5|sigma=2.5|thr=0.138|dist=0|prom=0
19,peak,0.5,2.5,0.139,0,0.0,0.7658433850277618,0.7092198581560284,0.8322929671244278,6000,2460,1209,peak|T=0.5|sigma=2.5|thr=0.139|dist=0|prom=0
20,segment,0.5,2.5,0.118,0,0.0,0.7657896358370817,0.6889135254988914,0.8619780829518657,6214,2806,995,segment|T=0.5|sigma=2.5|thr=0.118|dist=0|prom=0
21,peak,0.5,2.5,0.137,0,0.0,0.7657331555216866,0.70613726868119,0.8363157164655292,6029,2509,1180,peak|T=0.5|sigma=2.5|thr=0.137|dist=0|prom=0
22,peak,0.5,2.5,0.136,0,0.0,0.7651193717940599,0.7039151712887439,0.837980302399778,6041,2541,1168,peak|T=0.5|sigma=2.5|thr=0.136|dist=0|prom=0
23,peak,0.5,2.5,0.135,0,0.0,0.7650625236832133,0.7022608695652174,0.8401997503121099,6057,2568,1152,peak|T=0.5|sigma=2.5|thr=0.135|dist=0|prom=0
24,peak,0.5,2.0,0.15,16,0.0,0.7647965078957505,0.7117935237184849,0.8263282008600361,5957,2412,1252,peak|T=0.5|sigma=2|thr=0.15|dist=16|prom=0
25,peak,0.5,2.5,0.134,0,0.0,0.7646799672729561,0.6998847926267281,0.8426966292134831,6075,2605,1134,peak|T=0.5|sigma=2.5|thr=0.134|dist=0|prom=0
26,peak,0.5,2.5,0.138,24,0.0,0.7643693453964876,0.7343730026843922,0.7969205160216396,5745,2078,1464,peak|T=0.5|sigma=2.5|thr=0.138|dist=24|prom=0
27,peak,0.5,2.5,0.137,24,0.0,0.7641240124809136,0.7327476445123504,0.798307670966847,5755,2099,1454,peak|T=0.5|sigma=2.5|thr=0.137|dist=24|prom=0
28,peak,0.5,2.5,0.135,24,0.0,0.7641073080481036,0.729589905362776,0.8020529893189069,5782,2143,1427,peak|T=0.5|sigma=2.5|thr=0.135|dist=24|prom=0
29,peak,0.5,2.5,0.134,24,0.0,0.7640819553330259,0.727603513174404,0.8044111527257595,5799,2171,1410,peak|T=0.5|sigma=2.5|thr=0.134|dist=24|prom=0
30,peak,0.5,2.5,0.139,24,0.0,0.7637963209810718,0.7350865939704939,0.7948397836038286,5730,2065,1479,peak|T=0.5|sigma=2.5|thr=0.139|dist=24|prom=0
31,peak,0.5,2.5,0.136,24,0.0,0.7637591893502882,0.7307984790874524,0.7998335414065751,5766,2124,1443,peak|T=0.5|sigma=2.5|thr=0.136|dist=24|prom=0
32,segment,0.5,2.0,0.139,0,0.0,0.7632031441906165,0.6847382920110193,0.8619780829518657,6214,2861,995,segment|T=0.5|sigma=2|thr=0.139|dist=0|prom=0
33,peak,0.5,2.0,0.15,24,0.0,0.7628731586494589,0.7195376859707365,0.8117630739353586,5852,2281,1357,peak|T=0.5|sigma=2|thr=0.15|dist=24|prom=0
34,peak,0.5,2.5,0.15,24,0.0,0.7627037062504298,0.7562039814562312,0.7693161326120128,5546,1788,1663,peak|T=0.5|sigma=2.5|thr=0.15|dist=24|prom=0
35,peak,0.5,2.0,0.139,16,0.0,0.7625481406654461,0.6997682502896871,0.8377028714107366,6039,2591,1170,peak|T=0.5|sigma=2|thr=0.139|dist=16|prom=0
36,segment,0.5,2.0,0.138,0,0.0,0.7623483270008579,0.6828411461192228,0.8628103759189901,6220,2889,989,segment|T=0.5|sigma=2|thr=0.138|dist=0|prom=0
