dataset,video,frames,gt_boundaries,pred_boundaries,tp,fp,fn,precision,recall,f1
clipshots,HjYa83jR0jI,10588,26,160,26,134,0,0.1625,1.0,0.27956989247311825
clipshots,kCeDy55jLds,7934,0,120,0,120,0,0.0,0.0,0.0
clipshots,g6Nasr864Zk,6744,55,142,51,91,4,0.3591549295774648,0.9272727272727272,0.5177664974619289
clipshots,E1THWfIW3nM,10219,16,100,9,91,7,0.09,0.5625,0.15517241379310345
clipshots,pTO-SgJUl9A,7814,90,142,56,86,34,0.39436619718309857,0.6222222222222222,0.4827586206896552
clipshots,-QLxbPj0zO0,7238,10,85,4,81,6,0.047058823529411764,0.4,0.08421052631578947
clipshots,A_2zx2PDOWA,5407,13,88,10,78,3,0.11363636363636363,0.7692307692307693,0.198019801980198
clipshots,EQ0BBm0FEYA,11348,93,160,85,75,8,0.53125,0.9139784946236559,0.6719367588932805
clipshots,7v_BpmoGuPI,8435,1,62,1,61,0,0.016129032258064516,1.0,0.031746031746031744
clipshots,_Fpvnc8ZgLU,5729,18,73,17,56,1,0.2328767123287671,0.9444444444444444,0.3736263736263736
clipshots,6e2-G6CXeT0,5420,3,51,2,49,1,0.0392156862745098,0.6666666666666666,0.07407407407407407
clipshots,_rwAEfRbMq8,5240,3,50,3,47,0,0.06,1.0,0.11320754716981131
clipshots,--XNzaz_Y4g,5856,3,46,3,43,0,0.06521739130434782,1.0,0.12244897959183672
clipshots,9J3t5T6YnPo,11378,0,41,0,41,0,0.0,0.0,0.0
clipshots,YYQDWbu8sEA,5980,33,72,32,40,1,0.4444444444444444,0.9696969696969697,0.6095238095238095
clipshots,5KzADyUqlGc,11895,15,55,15,40,0,0.2727272727272727,1.0,0.42857142857142855
clipshots,vr6hkToePuI,8400,31,60,22,38,9,0.36666666666666664,0.7096774193548387,0.48351648351648346
clipshots,0EXCdXUN_fk,8206,93,122,85,37,8,0.6967213114754098,0.9139784946236559,0.7906976744186046
clipshots,0GImzG2gP4c,4632,8,41,7,34,1,0.17073170731707318,0.875,0.28571428571428575
clipshots,iQwc3cv2yWQ,6702,0,29,0,29,0,0.0,0.0,0.0
