dataset,video,tp,fp,fn
shot,13335596295,15,1,0
shot,17331353453,13,2,0
shot,18592632588,14,2,0
shot,19079860649,12,0,1
shot,20915607770,24,8,0
shot,21267401290,13,3,1
shot,24881886015,27,10,3
shot,25545843427,19,3,1
shot,26922743731,23,1,0
shot,27107740997,22,0,1
shot,27109494185,25,3,1
shot,27438014338,10,3,1
shot,28251171415,51,6,1
shot,28541329142,29,6,0
shot,28582983201,22,8,1
shot,28855524125,21,4,1
shot,29015928124,6,11,0
shot,29021603968,6,11,0
shot,29047239060,18,3,0
shot,29513386332,31,2,1
shot,30325167905,24,2,0
shot,30382060590,10,4,0
shot,30699682698,33,0,0
shot,31602670982,12,0,0
shot,32140458676,20,10,1
shot,33338203782,26,6,3
shot,33442613297,14,10,6
shot,33803189290,27,3,1
shot,34996642719,16,1,0
shot,35087786411,15,3,0
shot,35144084768,8,2,0
shot,35146145613,9,9,3
shot,35219009690,26,6,0
shot,35460496768,31,6,0
shot,38667643656,12,0,0
shot,40355287299,6,0,0
shot,41268001962,8,2,0
shot,42394122179,7,0,6
shot,42728994306,13,2,5
shot,43235160681,9,2,2
shot,45049694598,16,0,0
shot,46431791499,10,4,2
shot,46435147625,20,1,1
shot,47704122306,12,3,3
shot,47957669295,8,1,5
shot,48122821346,15,0,0
shot,48168996848,10,2,3
shot,48422312550,9,1,0
shot,48555393513,18,1,0
shot,48702737472,10,4,3
shot,48925830537,10,1,2
shot,48938017856,10,0,2
shot,49056150592,8,0,1
shot,49104256364,7,2,1
shot,49127679449,10,0,3
shot,49175269235,13,0,0
shot,49361878016,12,4,3
shot,49751514232,9,0,1
shot,49810176625,21,0,5
shot,49873920550,9,2,4
shot,49921964653,3,0,0
shot,49968590052,12,0,2
shot,49974694347,3,3,7
shot,49986240582,10,7,0
shot,50162190619,9,0,3
shot,50165129516,0,0,2
shot,50226319770,19,0,15
shot,50234611771,1,0,0
shot,50270306832,7,0,0
shot,50571672955,6,0,2
shot,50630424920,12,4,1
shot,50681534960,4,1,3
shot,50685420175,7,1,17
shot,50691559420,1,0,0
shot,50722456474,16,2,0
shot,50730132874,6,0,2
shot,50737710150,15,0,0
shot,50747609363,3,0,1
shot,50757545897,4,4,3
shot,50777251302,0,0,0
shot,50779805009,13,0,1
shot,50790423077,14,2,26
shot,50808944385,23,3,9
shot,50986712274,13,0,1
shot,51017299441,1,0,0
shot,51035653483,16,4,0
shot,51052713926,25,2,3
shot,51131501640,17,2,3
shot,51146516534,13,2,0
shot,51156423976,5,0,0
shot,51174508193,7,0,2
shot,51194977739,2,0,0
shot,51195576293,6,1,1
shot,51196454667,11,0,3
shot,51358309965,7,0,0
shot,51365944152,6,0,0
shot,51513541245,10,0,5
shot,51557245308,5,0,2
shot,51564867434,3,0,0
shot,51569443007,0,2,5
shot,51619015176,10,4,0
shot,51640627175,14,1,2
shot,51666131105,22,8,0
shot,51797484957,1,0,0
shot,51801047674,8,0,5
shot,51813343076,1,0,0
shot,51815641249,7,1,1
shot,51821110945,3,2,4
shot,51822315486,10,0,0
shot,51828385722,1,0,1
shot,51849706623,12,0,6
shot,51850440470,5,0,0
shot,51851851628,11,1,0
shot,51853159475,17,0,4
shot,51853218995,2,0,1
shot,51854738831,1,0,0
shot,51856514703,8,0,3
shot,51856804342,8,3,0
shot,51863405337,6,0,3
shot,51864484769,9,1,3
shot,51865414031,2,0,0
shot,51879134193,9,1,7
shot,51883607241,7,1,2
shot,51898637293,7,0,1
shot,51907740028,1,0,0
shot,51909559955,0,5,0
shot,51910832568,35,0,3
shot,51918316554,7,0,3
shot,51922596545,5,0,0
shot,51923064451,19,2,0
shot,51923935135,3,0,1
shot,51936013776,0,0,0
shot,51962572932,15,0,1
shot,51968224744,5,0,0
shot,51970090159,10,0,2
shot,51974495393,10,3,1
shot,51991451479,4,5,2
shot,51993797249,10,1,0
shot,52018429962,7,0,0
shot,52019528845,2,0,1
shot,52020580256,1,0,2
shot,52021424972,11,9,3
shot,52036282996,9,1,0
shot,52039188217,1,0,0
shot,52040994145,4,0,1
shot,52058235156,0,0,0
shot,52065612239,5,1,3
shot,52079863242,4,6,3
shot,52088212431,4,0,1
shot,52091274367,7,0,1
shot,52103654873,5,3,4
shot,52211794196,20,7,0
shot,52221509412,7,2,5
shot,52223316995,12,0,6
shot,52227178506,19,0,6
shot,52230867826,8,0,0
shot,52231725528,3,1,0
shot,52251949405,56,1,1
shot,52265488856,0,0,0
shot,52267415630,6,2,0
shot,52270627051,1,0,0
shot,52278251659,9,0,0
shot,52285405847,9,1,1
shot,52288425765,8,0,6
shot,52300997756,1,1,0
shot,52306102332,2,0,0
shot,52326893657,15,9,0
shot,52342275440,1,1,1
shot,52344741598,8,1,4
shot,52355335974,10,2,3
shot,52402555008,9,0,2
shot,52428336453,12,4,0
shot,52459332798,26,0,0
shot,52463663295,5,0,8
shot,52465455105,16,0,1
shot,52484229807,14,7,0
shot,52527042670,0,0,4
shot,52541409045,0,0,3
shot,52639473545,12,0,4
shot,52648682110,6,0,10
shot,52660362549,2,1,5
shot,52663756053,8,2,2
shot,52678323813,9,0,3
shot,52737439669,1,1,0
shot,52738625825,4,1,2
shot,52774861683,5,1,3
shot,52862789455,2,0,0
shot,52866623001,6,0,2
shot,52905722207,13,4,1
shot,52906475525,8,3,1
shot,52911335778,1,0,2
shot,52955209496,21,1,1
shot,52984248093,20,2,3
shot,52984250725,17,2,4
shot,53080754988,5,1,4
shot,53085157367,15,0,2
shot,53093515746,2,0,4
shot,53094825299,4,3,4
shot,53159808242,11,1,2
shot,53159810406,17,0,3
bbc,bbc_01,429,10,15
bbc,bbc_02,362,11,20
bbc,bbc_03,401,8,19
bbc,bbc_04,461,11,10
bbc,bbc_05,448,12,11
