dataset,sweep,rank,threshold,f1,precision,recall,tp,fp,fn
bbc,coarse,1,0.10000000149011612,0.9656106711129636,0.9749579124579124,0.9564409578860446,4633,119,211
bbc,coarse,2,0.05999999865889549,0.9655599092596412,0.9645653069633292,0.9665565648224608,4682,172,162
bbc,coarse,3,0.15000000596046448,0.9588925287963648,0.9822472396622646,0.9366226259289843,4537,82,307
bbc,coarse,4,0.019999999552965164,0.9445720563267751,0.9148771522538208,0.9762592898431048,4729,440,115
bbc,coarse,5,0.20000000298023224,0.14560701353154185,0.9478908188585607,0.07886044591246903,382,21,4462
bbc,coarse,6,0.20999999344348907,0.021194212349704502,0.8253968253968254,0.010734929810074319,52,11,4792
bbc,coarse,7,0.2199999988079071,0.012290045063498565,0.7894736842105263,0.006193228736581338,30,8,4814
bbc,coarse,8,0.23000000417232513,0.010660106601066012,0.7647058823529411,0.0053674649050371595,26,8,4818
bbc,coarse,9,0.23999999463558197,0.009029345372460498,0.7586206896551724,0.004541701073492981,22,7,4822
bbc,coarse,10,0.25,0.00780447730540152,0.76,0.003922378199834847,19,6,4825
bbc,coarse,11,0.2549999952316284,0.007396753647010478,0.782608695652174,0.0037159372419488025,18,5,4826
bbc,coarse,12,0.25999999046325684,0.006987258528565557,0.7727272727272727,0.003509496284062758,17,5,4827
bbc,coarse,13,0.26499998569488525,0.005348693684427073,0.7647058823529411,0.0026837324525185798,13,4,4831
bbc,coarse,14,0.27000001072883606,0.005348693684427073,0.7647058823529411,0.0026837324525185798,13,4,4831
bbc,coarse,15,0.2750000059604645,0.00452768059271455,0.7333333333333333,0.0022708505367464906,11,4,4833
bbc,coarse,16,0.2800000011920929,0.00452768059271455,0.7333333333333333,0.0022708505367464906,11,4,4833
bbc,coarse,17,0.2833000123500824,0.004116920543433511,0.7142857142857143,0.002064409578860446,10,4,4834
bbc,coarse,18,0.30399999022483826,0.0037067545304777594,0.75,0.0018579686209744012,9,3,4835
bbc,coarse,19,0.2867000102996826,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,20,0.28999999165534973,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,21,0.2919999957084656,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,22,0.2939999997615814,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,23,0.29600000381469727,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,24,0.2980000078678131,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,25,0.30000001192092896,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,26,0.3019999861717224,0.0037059913526868433,0.6923076923076923,0.0018579686209744012,9,4,4835
bbc,coarse,27,0.3059999942779541,0.0032955715756951593,0.7272727272727273,0.0016515276630883566,8,3,4836
bbc,coarse,28,0.30799999833106995,0.0032955715756951593,0.7272727272727273,0.0016515276630883566,8,3,4836
bbc,coarse,29,0.3100000023841858,0.0032955715756951593,0.7272727272727273,0.0016515276630883566,8,3,4836
bbc,coarse,30,0.3133000135421753,0.0032955715756951593,0.7272727272727273,0.0016515276630883566,8,3,4836
bbc,coarse,31,0.3167000114917755,0.0028842192006592504,0.7,0.001445086705202312,7,3,4837
bbc,coarse,32,0.33000001311302185,0.0024737167594310453,0.8571428571428571,0.0012386457473162675,6,1,4838
bbc,coarse,33,0.33500000834465027,0.0024737167594310453,0.8571428571428571,0.0012386457473162675,6,1,4838
bbc,coarse,34,0.3400000035762787,0.0024737167594310453,0.8571428571428571,0.0012386457473162675,6,1,4838
bbc,coarse,35,0.3449999988079071,0.0024737167594310453,0.8571428571428571,0.0012386457473162675,6,1,4838
bbc,coarse,36,0.3499999940395355,0.0024737167594310453,0.8571428571428571,0.0012386457473162675,6,1,4838
bbc,coarse,37,0.36000001430511475,0.0024737167594310453,0.8571428571428571,0.0012386457473162675,6,1,4838
